,caseid,Country code and phase,Cluster number,Household number,Respondent's line number ,Ultimate area unit,Women's individual sample weight (6 decimals),Month of interview,Year of interview,Date of interview (CMC),Respondent's month of birth,Respondent's year of birth,Date of birth (CMC),Respondent's current age,Age in 5-year groups,Total children ever born,Sons at home,Daughters at home,Sons elsewhere,Daughters elsewhere,Sons who have died,Daughters who have died
35,2  7  5,ZZ6,2,7,5,2,909465,7,2015,1387,3,1998,1179,17,15-19,2,1,0,0,0,1,0
36,2  7  6,ZZ6,2,7,6,2,909465,7,2015,1387,3,1982,987,33,30-34,5,0,1,0,0,4,0
37,2  8  2,ZZ6,2,8,2,2,909465,7,2015,1387,1,1967,805,48,45-49,11,0,2,3,1,1,4
38,2  8  3,ZZ6,2,8,3,2,909465,7,2015,1387,1,1998,1177,17,15-19,1,0,1,0,0,0,0
39,2  8  4,ZZ6,2,8,4,2,909465,7,2015,1387,7,1997,1171,18,15-19,0,0,0,0,0,0,0
40,2  9  2,ZZ6,2,9,2,2,909465,7,2015,1387,7,1984,1015,31,30-34,6,1,0,1,2,0,2
41,2 11  2,ZZ6,2,11,2,2,909465,7,2015,1387,3,1975,903,40,40-44,5,1,2,1,1,0,0
42,2 11  6,ZZ6,2,11,6,2,909465,7,2015,1387,4,1991,1096,24,20-24,1,0,0,1,0,0,0
43,2 12  2,ZZ6,2,12,2,2,909465,7,2015,1387,5,1980,965,35,35-39,8,1,1,0,1,4,1
44,2 13  2,ZZ6,2,13,2,2,909465,7,2015,1387,5,1983,1001,32,30-34,5,1,1,0,1,0,2
45,2 14  2,ZZ6,2,14,2,2,909465,7,2015,1387,4,1975,904,40,40-44,2,1,0,1,0,0,0
46,2 16  2,ZZ6,2,16,2,2,909465,7,2015,1387,6,1985,1026,30,30-34,1,0,1,0,0,0,0
47,2 16  3,ZZ6,2,16,3,2,909465,7,2015,1387,4,1977,928,38,35-39,4,0,0,0,2,1,1
48,2 17  1,ZZ6,2,17,1,2,909465,7,2015,1387,4,1988,1060,27,25-29,3,1,1,0,0,0,1
49,2 18  2,ZZ6,2,18,2,2,909465,7,2015,1387,7,1986,1039,29,25-29,4,1,0,1,0,2,0
50,2 19  2,ZZ6,2,19,2,2,909465,7,2015,1387,6,1997,1170,18,15-19,1,0,0,0,0,1,0
51,2 20  2,ZZ6,2,20,2,2,909465,7,2015,1387,2,1990,1082,25,25-29,4,1,2,0,0,1,0
52,2 21  2,ZZ6,2,21,2,2,909465,7,2015,1387,9,1993,1125,21,20-24,1,0,0,0,1,0,0
53,2 22  2,ZZ6,2,22,2,2,909465,7,2015,1387,7,1975,907,40,40-44,2,1,0,0,1,0,0
54,2 22  5,ZZ6,2,22,5,2,909465,7,2015,1387,2,1995,1142,20,20-24,0,0,0,0,0,0,0
55,2 22  7,ZZ6,2,22,7,2,909465,7,2015,1387,5,1998,1181,17,15-19,1,0,1,0,0,0,0
56,2 23  1,ZZ6,2,23,1,2,909465,7,2015,1387,4,1967,808,48,45-49,10,3,0,0,1,4,2
57,2 24  2,ZZ6,2,24,2,2,909465,7,2015,1387,2,1970,842,45,45-49,2,0,0,1,1,0,0
58,2 24  3,ZZ6,2,24,3,2,909465,7,2015,1387,1,1992,1105,23,20-24,3,0,0,1,2,0,0
59,2 25  2,ZZ6,2,25,2,2,909465,7,2015,1387,6,1981,978,34,30-34,4,2,1,1,0,0,0
60,2 25  3,ZZ6,2,25,3,2,909465,7,2015,1387,4,1982,988,33,30-34,4,0,1,0,0,1,2
61,2 26  2,ZZ6,2,26,2,2,909465,7,2015,1387,4,1995,1144,20,20-24,0,0,0,0,0,0,0
62,2 27  2,ZZ6,2,27,2,2,909465,7,2015,1387,4,1997,1168,18,15-19,0,0,0,0,0,0,0
63,2 28  2,ZZ6,2,28,2,2,909465,7,2015,1387,3,1970,843,45,45-49,6,3,1,0,0,2,0
64,2 29  2,ZZ6,2,29,2,2,909465,7,2015,1387,4,1982,988,33,30-34,5,1,0,0,1,1,2
65,2 30  2,ZZ6,2,30,2,2,909465,7,2015,1387,3,1983,999,32,30-34,2,2,0,0,0,0,0
66,3  1 10,ZZ6,3,1,10,3,258749,8,2015,1388,6,1985,1026,30,30-34,3,0,2,0,0,1,0
67,3  2  1,ZZ6,3,2,1,3,258749,8,2015,1388,2,1972,866,43,40-44,10,3,1,0,0,3,3
68,3  4  2,ZZ6,3,4,2,3,258749,8,2015,1388,4,1980,964,35,35-39,5,2,2,0,0,0,1
69,3  5  2,ZZ6,3,5,2,3,258749,8,2015,1388,10,1973,886,41,40-44,6,3,3,0,0,0,0
70,3  5  3,ZZ6,3,5,3,3,258749,8,2015,1388,7,2000,1207,15,15-19,0,0,0,0,0,0,0
71,3  6  1,ZZ6,3,6,1,3,258749,8,2015,1388,6,1976,918,39,35-39,6,3,2,0,0,0,1
72,3  7  2,ZZ6,3,7,2,3,258749,8,2015,1388,2,1967,806,48,45-49,9,2,3,1,1,1,1
73,3  8  2,ZZ6,3,8,2,3,258749,8,2015,1388,8,1972,872,43,40-44,7,2,3,1,0,1,0
74,3  8  3,ZZ6,3,8,3,3,258749,8,2015,1388,10,1996,1162,18,15-19,0,0,0,0,0,0,0
75,3  8  4,ZZ6,3,8,4,3,258749,8,2015,1388,4,2000,1204,15,15-19,0,0,0,0,0,0,0
76,3  9  3,ZZ6,3,9,3,3,258749,8,2015,1388,4,1981,976,34,30-34,5,3,2,0,0,0,0
77,3  9  4,ZZ6,3,9,4,3,258749,8,2015,1388,2,1995,1142,20,20-24,2,0,2,0,0,0,0
78,3 10  2,ZZ6,3,10,2,3,258749,8,2015,1388,6,1972,870,43,40-44,7,2,3,0,0,2,0
79,3 10  3,ZZ6,3,10,3,3,258749,8,2015,1388,9,1993,1125,21,20-24,2,1,0,1,0,0,0
80,3 11  2,ZZ6,3,11,2,3,258749,8,2015,1388,2,1972,866,43,40-44,5,3,1,0,0,1,0
81,3 12  2,ZZ6,3,12,2,3,258749,8,2015,1388,1,1988,1057,27,25-29,3,1,1,0,0,0,1
82,3 13  2,ZZ6,3,13,2,3,258749,8,2015,1388,5,1982,989,33,30-34,5,1,2,0,0,2,0
83,3 13  7,ZZ6,3,13,7,3,258749,8,2015,1388,8,1985,1028,30,30-34,3,1,0,1,0,1,0
84,3 14  6,ZZ6,3,14,6,3,258749,8,2015,1388,6,1995,1146,20,20-24,1,0,1,0,0,0,0
85,3 14  7,ZZ6,3,14,7,3,258749,8,2015,1388,7,1976,919,39,35-39,3,2,0,0,0,0,1
86,3 15  2,ZZ6,3,15,2,3,258749,8,2015,1388,3,1982,987,33,30-34,3,2,0,0,0,1,0
87,3 16  2,ZZ6,3,16,2,3,258749,8,2015,1388,9,1982,993,32,30-34,4,2,1,1,0,0,0
88,3 17  2,ZZ6,3,17,2,3,258749,8,2015,1388,2,1970,842,45,45-49,8,0,4,0,1,2,1
89,3 17  3,ZZ6,3,17,3,3,258749,8,2015,1388,3,2000,1203,15,15-19,0,0,0,0,0,0,0
90,3 18  2,ZZ6,3,18,2,3,258749,8,2015,1388,8,1989,1076,26,25-29,6,2,2,0,1,0,1
91,3 19  2,ZZ6,3,19,2,3,258749,8,2015,1388,12,1979,960,35,35-39,7,3,2,1,1,0,0
92,3 20  4,ZZ6,3,20,4,3,258749,8,2015,1388,4,1988,1060,27,25-29,3,1,2,0,0,0,0
93,3 20  8,ZZ6,3,20,8,3,258749,8,2015,1388,8,1997,1172,18,15-19,1,1,0,0,0,0,0
94,3 21  2,ZZ6,3,21,2,3,258749,8,2015,1388,4,1995,1144,20,20-24,0,0,0,0,0,0,0
95,3 21  5,ZZ6,3,21,5,3,258749,8,2015,1388,2,1997,1166,18,15-19,1,1,0,0,0,0,0
96,3 22  2,ZZ6,3,22,2,3,258749,8,2015,1388,3,1972,867,43,40-44,4,0,2,0,0,1,1
97,3 23  2,ZZ6,3,23,2,3,258749,8,2015,1388,6,1980,966,35,35-39,6,5,1,0,0,0,0
98,3 23  9,ZZ6,3,23,9,3,258749,8,2015,1388,6,1997,1170,18,15-19,0,0,0,0,0,0,0
99,3 24  2,ZZ6,3,24,2,3,258749,8,2015,1388,5,1987,1049,28,25-29,5,4,1,0,0,0,0
100,3 24 11,ZZ6,3,24,11,3,258749,8,2015,1388,8,1999,1196,16,15-19,0,0,0,0,0,0,0
101,3 25  2,ZZ6,3,25,2,3,258749,8,2015,1388,3,1976,915,39,35-39,7,1,1,2,3,0,0
102,3 25  5,ZZ6,3,25,5,3,258749,8,2015,1388,8,1997,1172,18,15-19,1,1,0,0,0,0,0
103,3 26  2,ZZ6,3,26,2,3,258749,8,2015,1388,4,1991,1096,24,20-24,3,0,0,1,1,1,0
104,3 27  2,ZZ6,3,27,2,3,258749,8,2015,1388,8,1985,1028,30,30-34,5,0,3,0,0,2,0
105,3 27  9,ZZ6,3,27,9,3,258749,8,2015,1388,7,1966,799,49,45-49,10,0,0,5,3,1,1
106,3 27 13,ZZ6,3,27,13,3,258749,8,2015,1388,8,1997,1172,18,15-19,0,0,0,0,0,0,0
107,3 28  2,ZZ6,3,28,2,3,258749,8,2015,1388,1,1993,1117,22,20-24,2,2,0,0,0,0,0
108,3 29  2,ZZ6,3,29,2,3,258749,8,2015,1388,6,1980,966,35,35-39,7,2,3,0,1,1,0
109,3 29  8,ZZ6,3,29,8,3,258749,8,2015,1388,1,1999,1189,16,15-19,0,0,0,0,0,0,0
110,3 29  9,ZZ6,3,29,9,3,258749,8,2015,1388,10,1994,1138,20,20-24,2,1,1,0,0,0,0
111,3 30  3,ZZ6,3,30,3,3,258749,8,2015,1388,12,1988,1068,26,25-29,1,0,1,0,0,0,0
112,3 30  4,ZZ6,3,30,4,3,258749,8,2015,1388,2,1992,1106,23,20-24,1,0,1,0,0,0,0
113,3 30  7,ZZ6,3,30,7,3,258749,8,2015,1388,1,1975,901,40,40-44,2,1,0,0,0,1,0
114,3 31  2,ZZ6,3,31,2,3,258749,8,2015,1388,6,1992,1110,23,20-24,1,1,0,0,0,0,0
115,3 31  3,ZZ6,3,31,3,3,258749,8,2015,1388,2,1999,1190,16,15-19,0,0,0,0,0,0,0
116,4  1  1,ZZ6,4,1,1,4,289182,9,2015,1389,9,1966,801,49,45-49,3,1,0,2,0,0,0
117,4  1  2,ZZ6,4,1,2,4,289182,9,2015,1389,3,1980,963,35,35-39,4,0,0,0,0,2,2
118,4  1  7,ZZ6,4,1,7,4,289182,9,2015,1389,8,1993,1124,22,20-24,1,1,0,0,0,0,0
119,4  2  2,ZZ6,4,2,2,4,289182,9,2015,1389,3,1980,963,35,35-39,4,0,1,1,1,1,0
120,4  2  5,ZZ6,4,2,5,4,289182,9,2015,1389,10,1984,1018,30,30-34,4,2,0,0,2,0,0
121,4  3  4,ZZ6,4,3,4,4,289182,9,2015,1389,10,1994,1138,20,20-24,2,1,0,0,1,0,0
122,4  4  2,ZZ6,4,4,2,4,289182,9,2015,1389,5,1997,1169,18,15-19,1,0,1,0,0,0,0
123,4  8  3,ZZ6,4,8,3,4,289182,9,2015,1389,6,1991,1098,24,20-24,1,0,1,0,0,0,0
124,4  9  2,ZZ6,4,9,2,4,289182,9,2015,1389,4,1989,1072,26,25-29,3,0,2,0,0,1,0
125,4 10  2,ZZ6,4,10,2,4,289182,9,2015,1389,9,1977,933,38,35-39,6,1,2,1,1,1,0
126,4 11  2,ZZ6,4,11,2,4,289182,9,2015,1389,9,1974,897,41,40-44,7,1,0,3,1,2,0
127,4 11  4,ZZ6,4,11,4,4,289182,9,2015,1389,4,1985,1024,30,30-34,3,1,0,0,1,0,1
128,4 11  7,ZZ6,4,11,7,4,289182,9,2015,1389,3,1997,1167,18,15-19,0,0,0,0,0,0,0
129,4 12  2,ZZ6,4,12,2,4,289182,9,2015,1389,12,1977,936,37,35-39,6,0,1,3,0,0,2
130,4 12  3,ZZ6,4,12,3,4,289182,9,2015,1389,3,1985,1023,30,30-34,4,0,1,1,1,1,0
131,4 14  3,ZZ6,4,14,3,4,289182,9,2015,1389,12,1984,1020,30,30-34,4,1,0,1,2,0,0
132,4 14  4,ZZ6,4,14,4,4,289182,9,2015,1389,7,1995,1147,20,20-24,0,0,0,0,0,0,0
133,4 15  2,ZZ6,4,15,2,4,289182,9,2015,1389,4,1989,1072,26,25-29,2,0,1,1,0,0,0
134,4 15  5,ZZ6,4,15,5,4,289182,9,2015,1389,5,2000,1205,15,15-19,0,0,0,0,0,0,0
135,4 16  2,ZZ6,4,16,2,4,289182,9,2015,1389,8,1996,1160,19,15-19,0,0,0,0,0,0,0
136,4 17  2,ZZ6,4,17,2,4,289182,9,2015,1389,12,1981,984,33,30-34,5,2,1,0,1,0,1
137,4 20  2,ZZ6,4,20,2,4,289182,9,2015,1389,3,1970,843,45,45-49,8,0,1,3,2,1,1
138,4 21  2,ZZ6,4,21,2,4,289182,9,2015,1389,10,1984,1018,30,30-34,4,1,1,2,0,0,0
139,4 22  2,ZZ6,4,22,2,4,289182,9,2015,1389,1,1977,925,38,35-39,6,0,0,2,3,1,0
140,4 24  2,ZZ6,4,24,2,4,289182,9,2015,1389,4,1975,904,40,40-44,5,0,2,1,0,1,1
141,4 24  3,ZZ6,4,24,3,4,289182,9,2015,1389,4,1998,1180,17,15-19,0,0,0,0,0,0,0
142,4 28  2,ZZ6,4,28,2,4,289182,9,2015,1389,12,1982,996,32,30-34,3,1,1,1,0,0,0
143,4 30  2,ZZ6,4,30,2,4,289182,9,2015,1389,6,1966,798,49,45-49,7,0,1,1,3,0,2
144,4 30  3,ZZ6,4,30,3,4,289182,9,2015,1389,9,1995,1149,20,20-24,1,0,1,0,0,0,0
145,5  1  1,ZZ6,5,1,1,5,556114,7,2015,1387,1,1982,985,33,30-34,5,0,2,1,1,1,0
146,5  2  2,ZZ6,5,2,2,5,556114,7,2015,1387,1,1978,937,37,35-39,7,1,2,1,2,1,0
147,5  2  3,ZZ6,5,2,3,5,556114,7,2015,1387,10,1978,946,36,35-39,2,0,1,0,0,1,0
148,5  3  2,ZZ6,5,3,2,5,556114,7,2015,1387,6,1988,1062,27,25-29,3,3,0,0,0,0,0
149,5  5  2,ZZ6,5,5,2,5,556114,7,2015,1387,1,1992,1105,23,20-24,2,2,0,0,0,0,0
150,5  7  2,ZZ6,5,7,2,5,556114,7,2015,1387,2,1981,974,34,30-34,8,0,2,1,4,1,0
151,5  7  3,ZZ6,5,7,3,5,556114,7,2015,1387,12,1997,1176,17,15-19,1,1,0,0,0,0,0
152,5  7  4,ZZ6,5,7,4,5,556114,7,2015,1387,10,1984,1018,30,30-34,2,1,0,0,1,0,0
153,5  8  6,ZZ6,5,8,6,5,556114,7,2015,1387,5,2000,1205,15,15-19,0,0,0,0,0,0,0
154,5  9  2,ZZ6,5,9,2,5,556114,7,2015,1387,4,1970,844,45,45-49,2,0,1,0,0,0,1
155,5  9  3,ZZ6,5,9,3,5,556114,7,2015,1387,6,1970,846,45,45-49,6,1,1,0,3,0,1
156,5  9  4,ZZ6,5,9,4,5,556114,7,2015,1387,3,1990,1083,25,25-29,3,0,0,2,1,0,0
157,5 11  2,ZZ6,5,11,2,5,556114,7,2015,1387,8,1977,932,37,35-39,9,3,1,0,1,3,1
158,5 12  2,ZZ6,5,12,2,5,556114,7,2015,1387,10,1995,1150,19,15-19,0,0,0,0,0,0,0
159,5 15  2,ZZ6,5,15,2,5,556114,7,2015,1387,3,1985,1023,30,30-34,4,1,3,0,0,0,0
160,5 16  2,ZZ6,5,16,2,5,556114,7,2015,1387,10,1970,850,44,40-44,4,0,0,0,4,0,0
161,5 17  2,ZZ6,5,17,2,5,556114,7,2015,1387,1,1982,985,33,30-34,2,0,0,0,1,1,0
162,5 17  3,ZZ6,5,17,3,5,556114,7,2015,1387,4,1994,1132,21,20-24,1,0,1,0,0,0,0
163,5 18  2,ZZ6,5,18,2,5,556114,7,2015,1387,5,1988,1061,27,25-29,2,2,0,0,0,0,0
164,5 20  1,ZZ6,5,20,1,5,556114,7,2015,1387,4,1972,868,43,40-44,7,0,0,3,3,1,0
165,5 23  2,ZZ6,5,23,2,5,556114,7,2015,1387,6,1986,1038,29,25-29,3,2,0,0,0,0,1
166,5 24  2,ZZ6,5,24,2,5,556114,7,2015,1387,7,1990,1087,25,25-29,4,1,1,1,1,0,0
167,5 25  2,ZZ6,5,25,2,5,556114,7,2015,1387,4,1990,1084,25,25-29,3,2,1,0,0,0,0
168,5 26  1,ZZ6,5,26,1,5,556114,7,2015,1387,6,1989,1074,26,25-29,4,2,0,1,0,0,1
169,5 27  2,ZZ6,5,27,2,5,556114,7,2015,1387,6,1972,870,43,40-44,4,0,0,1,3,0,0
170,5 28  3,ZZ6,5,28,3,5,556114,7,2015,1387,5,1997,1169,18,15-19,1,1,0,0,0,0,0
171,5 29  3,ZZ6,5,29,3,5,556114,7,2015,1387,4,1989,1072,26,25-29,5,1,2,0,0,1,1
172,5 30  2,ZZ6,5,30,2,5,556114,7,2015,1387,5,1980,965,35,35-39,5,0,4,1,0,0,0
173,5 30  5,ZZ6,5,30,5,5,556114,7,2015,1387,11,1999,1199,15,15-19,0,0,0,0,0,0,0
174,5 31  2,ZZ6,5,31,2,5,556114,7,2015,1387,2,1995,1142,20,20-24,1,1,0,0,0,0,0
175,6  1  1,ZZ6,6,1,1,6,1802902,6,2015,1386,4,1976,916,39,35-39,7,3,1,1,0,2,0
176,6  3  2,ZZ6,6,3,2,6,1802902,6,2015,1386,5,1987,1049,28,25-29,4,2,1,0,0,1,0
177,6  3  3,ZZ6,6,3,3,6,1802902,6,2015,1386,4,1989,1072,26,25-29,3,3,0,0,0,0,0
178,6  4  2,ZZ6,6,4,2,6,1802902,6,2015,1386,9,1995,1149,19,15-19,1,1,0,0,0,0,0
179,6  4  4,ZZ6,6,4,4,6,1802902,6,2015,1386,3,1985,1023,30,30-34,1,1,0,0,0,0,0
180,6  5  9,ZZ6,6,5,9,6,1802902,6,2015,1386,5,1999,1193,16,15-19,0,0,0,0,0,0,0
181,6  5 10,ZZ6,6,5,10,6,1802902,6,2015,1386,4,1996,1156,19,15-19,0,0,0,0,0,0,0
182,6  6  6,ZZ6,6,6,6,6,1802902,6,2015,1386,9,1969,837,45,45-49,4,0,0,2,1,0,1
183,6  7  2,ZZ6,6,7,2,6,1802902,6,2015,1386,1,1990,1081,25,25-29,3,1,2,0,0,0,0
184,6  7  6,ZZ6,6,7,6,6,1802902,6,2015,1386,5,1993,1121,22,20-24,0,0,0,0,0,0,0
185,6  8  3,ZZ6,6,8,3,6,1802902,6,2015,1386,3,1979,951,36,35-39,6,1,1,2,2,0,0
186,6  8  4,ZZ6,6,8,4,6,1802902,6,2015,1386,1,1979,949,36,35-39,7,2,1,2,1,0,1
187,6  9  2,ZZ6,6,9,2,6,1802902,6,2015,1386,4,1998,1180,17,15-19,0,0,0,0,0,0,0
188,6 10  1,ZZ6,6,10,1,6,1802902,6,2015,1386,11,1977,935,37,35-39,3,0,0,2,1,0,0
189,6 11  2,ZZ6,6,11,2,6,1802902,6,2015,1386,5,1975,905,40,40-44,7,0,0,3,2,0,2
190,6 11  5,ZZ6,6,11,5,6,1802902,6,2015,1386,6,1997,1170,18,15-19,0,0,0,0,0,0,0
191,6 12  2,ZZ6,6,12,2,6,1802902,6,2015,1386,2,1981,974,34,30-34,4,2,2,0,0,0,0
192,6 12  4,ZZ6,6,12,4,6,1802902,6,2015,1386,7,1988,1063,26,25-29,2,1,0,0,0,1,0
193,6 13  2,ZZ6,6,13,2,6,1802902,6,2015,1386,3,1985,1023,30,30-34,4,2,2,0,0,0,0
194,6 13  7,ZZ6,6,13,7,6,1802902,6,2015,1386,5,1999,1193,16,15-19,0,0,0,0,0,0,0
195,6 14  2,ZZ6,6,14,2,6,1802902,6,2015,1386,6,1998,1182,17,15-19,0,0,0,0,0,0,0
196,6 15  1,ZZ6,6,15,1,6,1802902,6,2015,1386,8,1979,956,35,35-39,2,1,0,0,1,0,0
197,6 16  2,ZZ6,6,16,2,6,1802902,6,2015,1386,4,1975,904,40,40-44,5,2,3,0,0,0,0
198,6 16  8,ZZ6,6,16,8,6,1802902,6,2015,1386,3,1999,1191,16,15-19,0,0,0,0,0,0,0
199,6 17  2,ZZ6,6,17,2,6,1802902,6,2015,1386,6,1995,1146,20,20-24,1,0,1,0,0,0,0
200,6 17  4,ZZ6,6,17,4,6,1802902,6,2015,1386,7,1971,859,43,40-44,6,1,0,1,3,1,0
201,6 18  1,ZZ6,6,18,1,6,1802902,6,2015,1386,8,1978,944,36,35-39,5,2,0,0,3,0,0
202,6 19  2,ZZ6,6,19,2,6,1802902,6,2015,1386,8,1977,932,37,35-39,5,1,0,1,3,0,0
203,6 20  1,ZZ6,6,20,1,6,1802902,7,2015,1387,12,1967,816,47,45-49,7,1,1,3,1,1,0
204,6 21  2,ZZ6,6,21,2,6,1802902,6,2015,1386,4,1987,1048,28,25-29,2,1,1,0,0,0,0
205,6 21  3,ZZ6,6,21,3,6,1802902,6,2015,1386,2,1990,1082,25,25-29,2,1,1,0,0,0,0
206,6 22  2,ZZ6,6,22,2,6,1802902,6,2015,1386,10,1991,1102,23,20-24,2,1,1,0,0,0,0
207,6 24  2,ZZ6,6,24,2,6,1802902,9,2015,1389,2,1975,902,40,40-44,5,1,0,2,2,0,0
208,6 25  1,ZZ6,6,25,1,6,1802902,6,2015,1386,2,1973,878,42,40-44,6,2,3,0,0,1,0
209,6 25  5,ZZ6,6,25,5,6,1802902,6,2015,1386,1,1995,1141,20,20-24,0,0,0,0,0,0,0
210,6 25  8,ZZ6,6,25,8,6,1802902,6,2015,1386,2,1989,1070,26,25-29,1,0,1,0,0,0,0
211,6 26  3,ZZ6,6,26,3,6,1802902,6,2015,1386,5,1981,977,34,30-34,5,3,2,0,0,0,0
212,6 27  2,ZZ6,6,27,2,6,1802902,6,2015,1386,2,1987,1046,28,25-29,2,1,1,0,0,0,0
213,6 27  5,ZZ6,6,27,5,6,1802902,6,2015,1386,3,1968,819,47,45-49,5,1,1,2,1,0,0
214,6 27  7,ZZ6,6,27,7,6,1802902,6,2015,1386,4,1998,1180,17,15-19,0,0,0,0,0,0,0
215,6 28  1,ZZ6,6,28,1,6,1802902,6,2015,1386,9,1990,1089,24,20-24,2,1,1,0,0,0,0
216,6 29  9,ZZ6,6,29,9,6,1802902,6,2015,1386,1,1987,1045,28,25-29,1,0,0,0,1,0,0
217,6 29 10,ZZ6,6,29,10,6,1802902,6,2015,1386,8,1995,1148,19,15-19,0,0,0,0,0,0,0
218,6 30  1,ZZ6,6,30,1,6,1802902,6,2015,1386,7,1967,811,47,45-49,6,1,0,0,5,0,0
219,6 30  7,ZZ6,6,30,7,6,1802902,6,2015,1386,3,1972,867,43,40-44,8,0,1,2,0,3,2
220,6 30  8,ZZ6,6,30,8,6,1802902,6,2015,1386,12,1974,900,40,40-44,7,2,0,0,2,0,3
221,6 30  9,ZZ6,6,30,9,6,1802902,6,2015,1386,5,1987,1049,28,25-29,3,0,1,0,1,0,1
222,6 30 13,ZZ6,6,30,13,6,1802902,6,2015,1386,9,1981,981,33,30-34,5,0,3,1,1,0,0
223,6 30 15,ZZ6,6,30,15,6,1802902,6,2015,1386,2,1994,1130,21,20-24,1,0,1,0,0,0,0
