,hhid,Country code and phase,Cluster number,Household number,Respondent's line number,Ultimate area unit,Household sample weight,Month of interview,Year of interview,Date of interview,Number of household members,Number of eligible women in household,Number of eligible men in household,Number of de jure members,Number of de facto members,Number of children 5 and under (de jure),Result of household interview,Day of interview,Number of visits,Interviewer identification,Keyer identification,Ever-married sample,Primary sampling unit,Sample strata for sampling errors,Stratification used in sample design,Region,Type of place of residence,Place of residence,Household selected for male interview,Household weight for male subsample,Field supervisor,Field editor,Office editor,Number of eligible children for height and weight,Cluster altitude in meters,Total adults measured,Household selected for hemoglobin,Household selected for Domestic Violence module,Source of drinking water,Source of non-drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household
11,1 13,ZZ6,1,13,1,1,1049502,6,2015,1386,10,1,0,10,10,1,completed,30,1,224,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,10,pit latrine without slab/open pit,no,yes,67
12,1 14,ZZ6,1,14,1,1,1049502,6,2015,1386,4,0,0,4,4,0,completed,28,1,224,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,6,pit latrine without slab/open pit,no,no,58
13,1 15,ZZ6,1,15,1,1,1049502,6,2015,1386,3,2,0,3,3,1,completed,28,1,226,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,12,pit latrine without slab/open pit,no,no,35
14,1 16,ZZ6,1,16,1,1,1049502,6,2015,1386,6,1,0,6,6,1,completed,28,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,unprotected well,NA,15,ventilated improved pit latrine (vip),no,no,35
15,1 17,ZZ6,1,17,1,1,1049502,6,2015,1386,5,0,0,5,5,0,completed,28,1,224,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,tube well or borehole,NA,10,pit latrine with slab,no,yes,55
16,1 18,ZZ6,1,18,1,1,1049502,7,2015,1387,2,0,1,2,2,0,completed,1,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,0,NA,1,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,45,pit latrine without slab/open pit,no,yes,49
17,1 19,ZZ6,1,19,1,1,1049502,6,2015,1386,3,1,0,3,3,1,completed,28,1,224,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,protected well,NA,2,no facility/bush/field,no,no,59
18,1 20,ZZ6,1,20,2,1,1049502,6,2015,1386,8,1,0,8,7,0,completed,29,1,224,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,protected well,NA,5,pit latrine without slab/open pit,no,yes,32
19,1 22,ZZ6,1,22,2,1,1049502,6,2015,1386,5,1,1,5,5,1,completed,30,1,224,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,1,NA,2,selected,household selected,protected well,NA,4,pit latrine without slab/open pit,no,yes,40
20,1 23,ZZ6,1,23,1,1,1049502,6,2015,1386,5,1,0,5,5,0,completed,30,1,226,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,20,pit latrine without slab/open pit,no,no,45
21,1 24,ZZ6,1,24,1,1,1049502,6,2015,1386,7,3,0,7,7,2,completed,28,1,226,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,2,NA,3,selected,household selected,protected well,NA,9,no facility/bush/field,no,no,72
22,1 25,ZZ6,1,25,2,1,1049502,6,2015,1386,8,3,0,8,8,2,completed,29,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,2,NA,3,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,50,no facility/bush/field,no,yes,65
23,1 26,ZZ6,1,26,1,1,1049502,6,2015,1386,8,2,2,8,8,2,completed,28,1,224,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,2,NA,4,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,10,no facility/bush/field,no,no,55
24,1 27,ZZ6,1,27,1,1,1049502,6,2015,1386,4,1,0,4,4,0,completed,29,1,226,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,protected well,NA,7,pit latrine without slab/open pit,no,no,65
25,1 28,ZZ6,1,28,1,1,1049502,6,2015,1386,3,1,0,3,3,0,completed,28,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,0,NA,1,selected,household selected,unprotected well,NA,20,pit latrine without slab/open pit,no,yes,70
26,1 29,ZZ6,1,29,1,1,1049502,6,2015,1386,4,1,1,4,4,1,completed,29,1,226,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,1,NA,2,selected,household selected,protected well,NA,5,pit latrine without slab/open pit,no,yes,35
27,1 30,ZZ6,1,30,2,1,1049502,6,2015,1386,4,1,1,4,4,1,completed,29,1,224,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,1,NA,2,selected,household selected,protected well,NA,60,pit latrine with slab,no,yes,42
28,1 31,ZZ6,1,31,1,1,1049502,6,2015,1386,7,1,0,7,7,2,completed,30,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,unprotected well,NA,45,pit latrine without slab/open pit,no,yes,45
29,2  1,ZZ6,2,1,1,2,925559,7,2015,1387,1,0,0,1,1,0,completed,5,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,50,pit latrine with slab,no,yes,45
30,2  2,ZZ6,2,2,1,2,925559,7,2015,1387,7,1,1,7,7,1,completed,4,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,1,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,6,no facility/bush/field,no,yes,40
31,2  3,ZZ6,2,3,1,2,925559,7,2015,1387,6,2,2,6,6,2,completed,5,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,2,NA,4,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,45,no facility/bush/field,no,no,43
32,2  5,ZZ6,2,5,1,2,925559,7,2015,1387,4,0,2,4,4,1,completed,5,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,0,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,10,pit latrine without slab/open pit,no,yes,62
33,2  7,ZZ6,2,7,1,2,925559,7,2015,1387,10,3,1,10,10,2,completed,6,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,2,NA,4,selected,household selected,unprotected spring,NA,30,pit latrine with slab,no,no,55
34,2  8,ZZ6,2,8,1,2,925559,7,2015,1387,10,3,0,10,10,4,completed,6,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,30,no facility/bush/field,no,yes,57
35,2  9,ZZ6,2,9,1,2,925559,7,2015,1387,6,1,1,6,5,2,completed,4,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,1,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,15,no facility/bush/field,no,yes,38
36,2 10,ZZ6,2,10,1,2,925559,7,2015,1387,1,0,0,1,1,0,completed,6,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,10,no facility/bush/field,no,no,22
37,2 11,ZZ6,2,11,1,2,925559,7,2015,1387,8,2,0,8,8,1,completed,5,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,20,no facility/bush/field,no,yes,54
38,2 12,ZZ6,2,12,1,2,925559,7,2015,1387,4,1,1,4,4,0,completed,4,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,0,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,15,no facility/bush/field,no,no,38
39,2 13,ZZ6,2,13,1,2,925559,7,2015,1387,5,1,1,5,5,2,completed,5,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,2,NA,2,selected,household selected,unprotected spring,NA,45,no facility/bush/field,no,no,35
40,2 14,ZZ6,2,14,1,2,925559,7,2015,1387,4,1,0,4,4,0,completed,6,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,15,no facility/bush/field,no,yes,50
41,2 15,ZZ6,2,15,1,2,925559,7,2015,1387,2,0,0,2,2,1,completed,6,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,15,no facility/bush/field,no,yes,26
42,2 16,ZZ6,2,16,1,2,925559,7,2015,1387,9,2,0,7,9,1,completed,5,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,unprotected spring,NA,10,no facility/bush/field,no,yes,43
43,2 17,ZZ6,2,17,1,2,925559,7,2015,1387,4,1,0,4,4,1,completed,4,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,protected well,NA,0,no facility/bush/field,no,yes,27
44,2 18,ZZ6,2,18,1,2,925559,7,2015,1387,3,1,0,3,3,1,completed,6,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,15,no facility/bush/field,no,no,30
45,2 19,ZZ6,2,19,1,2,925559,7,2015,1387,4,1,0,4,4,2,completed,4,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,2,NA,1,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,20,no facility/bush/field,no,no,65
46,2 20,ZZ6,2,20,2,2,925559,7,2015,1387,5,1,1,5,5,2,completed,5,2,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,1,NA,2,selected,household selected,unprotected spring,NA,35,pit latrine with slab,no,no,29
47,2 21,ZZ6,2,21,1,2,925559,7,2015,1387,3,1,1,3,3,0,completed,4,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,0,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,20,no facility/bush/field,no,no,46
48,2 22,ZZ6,2,22,1,2,925559,7,2015,1387,10,3,1,10,10,2,completed,6,3,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,2,NA,4,selected,household selected,unprotected spring,NA,45,pit latrine with slab,no,yes,57
49,2 23,ZZ6,2,23,1,2,925559,7,2015,1387,4,1,0,4,4,0,completed,6,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,unprotected spring,NA,5,no facility/bush/field,no,no,48
50,2 24,ZZ6,2,24,2,2,925559,7,2015,1387,12,2,0,12,12,1,completed,5,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,10,no facility/bush/field,no,yes,50
51,2 25,ZZ6,2,25,1,2,925559,7,2015,1387,9,2,1,9,9,3,completed,5,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,2,NA,3,selected,household selected,unprotected spring,NA,30,pit latrine with slab,no,yes,60
52,2 26,ZZ6,2,26,3,2,925559,7,2015,1387,5,1,1,5,5,0,completed,5,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,0,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,4,no facility/bush/field,no,yes,70
53,2 27,ZZ6,2,27,1,2,925559,7,2015,1387,2,1,1,2,2,0,completed,5,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,0,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,30,no facility/bush/field,no,yes,29
54,2 28,ZZ6,2,28,1,2,925559,7,2015,1387,6,1,0,6,6,1,completed,5,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,6,no facility/bush/field,no,yes,62
55,2 29,ZZ6,2,29,1,2,925559,7,2015,1387,5,1,0,5,5,0,completed,5,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,40,no facility/bush/field,no,yes,55
56,2 30,ZZ6,2,30,1,2,925559,7,2015,1387,4,1,0,4,4,0,completed,4,1,26,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,10,pit latrine without slab/open pit,yes,no,38
57,2 31,ZZ6,2,31,1,2,925559,7,2015,1387,2,0,1,2,2,1,completed,6,1,24,18,all woman sample,2,5,region 4 - rural,region 4,rural,NA,men's survey,1060571,21,22,3,1,NA,1,selected,household selected,unprotected well,NA,0,pit latrine with slab,no,no,34
58,3  1,ZZ6,3,1,1,3,262466,8,2015,1388,12,1,0,12,12,3,completed,28,1,106,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected spring,NA,20,pit latrine with slab,no,no,64
59,3  2,ZZ6,3,2,1,3,262466,8,2015,1388,6,1,0,6,6,0,completed,25,1,105,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,unprotected spring,NA,20,pit latrine without slab/open pit,no,no,43
60,3  4,ZZ6,3,4,11,3,262466,8,2015,1388,12,1,2,12,12,5,completed,27,1,224,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,4,NA,3,selected,household selected,protected well,NA,11,no facility/bush/field,no,yes,42
61,3  5,ZZ6,3,5,1,3,262466,8,2015,1388,8,2,0,8,8,2,completed,25,1,105,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected well,NA,14,pit latrine without slab/open pit,no,no,46
62,3  6,ZZ6,3,6,8,3,262466,8,2015,1388,9,1,2,9,9,2,completed,27,1,224,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,1,NA,3,selected,household selected,protected well,NA,6,pit latrine without slab/open pit,no,no,39
63,3  7,ZZ6,3,7,2,3,262466,8,2015,1388,8,1,1,8,8,2,completed,26,1,224,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,1,NA,2,selected,household selected,protected well,NA,10,no facility/bush/field,no,no,56
64,3  8,ZZ6,3,8,1,3,262466,8,2015,1388,8,3,0,8,8,2,completed,25,1,106,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected well,NA,25,pit latrine with slab,no,yes,56
65,3  9,ZZ6,3,9,2,3,262466,8,2015,1388,11,2,2,11,11,3,completed,28,1,105,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,3,NA,4,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,21,pit latrine without slab/open pit,no,yes,92
66,3 10,ZZ6,3,10,1,3,262466,8,2015,1388,8,2,0,8,8,3,completed,26,1,105,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected well,NA,7,pit latrine without slab/open pit,no,no,61
67,3 11,ZZ6,3,11,1,3,262466,8,2015,1388,6,1,0,6,6,1,completed,27,1,106,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected spring,NA,10,pit latrine without slab/open pit,no,no,45
68,3 12,ZZ6,3,12,5,3,262466,8,2015,1388,7,1,1,7,7,2,completed,28,1,224,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,2,NA,2,selected,household selected,protected well,NA,7,pit latrine without slab/open pit,no,yes,62
69,3 13,ZZ6,3,13,1,3,262466,8,2015,1388,8,2,1,8,8,3,completed,26,1,224,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,2,NA,3,selected,household selected,protected well,NA,4,pit latrine without slab/open pit,no,yes,36
70,3 14,ZZ6,3,14,1,3,262466,8,2015,1388,13,2,0,13,13,4,completed,25,1,105,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,unprotected spring,NA,20,pit latrine without slab/open pit,no,yes,64
71,3 15,ZZ6,3,15,1,3,262466,8,2015,1388,4,1,0,4,4,2,completed,26,1,106,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected spring,NA,15,pit latrine with slab,no,no,40
72,3 16,ZZ6,3,16,1,3,262466,8,2015,1388,6,1,2,6,6,3,completed,26,1,224,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,2,NA,3,selected,household selected,protected well,NA,10,no facility/bush/field,no,yes,42
73,3 17,ZZ6,3,17,1,3,262466,8,2015,1388,6,2,0,6,6,2,completed,26,1,106,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected well,NA,0,pit latrine with slab,no,yes,40
74,3 18,ZZ6,3,18,1,3,262466,8,2015,1388,6,1,0,6,6,3,completed,28,1,106,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected spring,NA,20,pit latrine without slab/open pit,no,no,39
75,3 19,ZZ6,3,19,1,3,262466,8,2015,1388,11,1,3,11,11,2,completed,28,1,224,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,1,NA,4,selected,household selected,protected well,NA,8,pit latrine without slab/open pit,no,yes,45
76,3 20,ZZ6,3,20,2,3,262466,8,2015,1388,10,2,2,10,10,2,completed,28,1,105,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,2,NA,4,selected,household selected,unprotected well,NA,8,pit latrine without slab/open pit,no,yes,63
77,3 21,ZZ6,3,21,1,3,262466,8,2015,1388,6,2,0,4,6,0,completed,27,1,105,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected well,NA,10,pit latrine without slab/open pit,no,yes,46
78,3 22,ZZ6,3,22,1,3,262466,8,2015,1388,5,1,0,5,5,0,completed,27,1,106,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected spring,NA,20,ventilated improved pit latrine (vip),no,yes,44
79,3 23,ZZ6,3,23,1,3,262466,8,2015,1388,10,2,2,10,10,2,completed,25,1,224,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,2,NA,4,selected,household selected,protected well,NA,15,no facility/bush/field,no,yes,42
80,3 24,ZZ6,3,24,1,3,262466,8,2015,1388,11,2,1,11,11,1,completed,27,1,224,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,1,NA,3,selected,household selected,protected well,NA,3,pit latrine without slab/open pit,no,yes,44
81,3 25,ZZ6,3,25,1,3,262466,8,2015,1388,8,2,1,8,8,3,completed,25,1,224,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,3,NA,3,selected,household selected,protected well,NA,10,pit latrine without slab/open pit,no,yes,45
82,3 26,ZZ6,3,26,1,3,262466,8,2015,1388,5,1,0,5,5,2,completed,26,1,105,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected well,NA,13,pit latrine without slab/open pit,no,no,37
83,3 27,ZZ6,3,27,1,3,262466,8,2015,1388,13,3,4,12,13,0,completed,26,1,106,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,0,NA,7,selected,household selected,protected spring,NA,10,pit latrine without slab/open pit,no,yes,39
84,3 28,ZZ6,3,28,1,3,262466,8,2015,1388,4,1,0,4,4,2,completed,27,1,106,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,protected spring,NA,20,pit latrine without slab/open pit,no,yes,46
85,3 29,ZZ6,3,29,1,3,262466,8,2015,1388,11,3,1,8,11,2,completed,28,1,106,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,2,NA,4,selected,household selected,protected spring,NA,20,pit latrine with slab,no,yes,41
86,3 30,ZZ6,3,30,1,3,262466,8,2015,1388,10,3,2,10,10,2,completed,27,1,105,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,men's survey,300390,101,102,1,2,NA,5,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,14,no facility/bush/field,no,no,52
87,3 31,ZZ6,3,31,1,3,262466,8,2015,1388,7,2,0,7,7,1,completed,28,1,105,8,all woman sample,3,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,1,0,NA,0,not selected,household selected,unprotected spring,NA,16,pit latrine with slab,no,yes,33
88,4  1,ZZ6,4,1,1,4,294299,9,2015,1389,7,3,2,7,7,2,completed,20,1,24,15,all woman sample,4,5,region 4 - rural,region 4,rural,NA,men's survey,337228,21,12,2,1,NA,5,selected,household selected,unprotected spring,NA,25,no facility/bush/field,no,no,49
89,4  2,ZZ6,4,2,1,4,294299,9,2015,1389,7,2,0,3,7,0,completed,19,1,191,15,all woman sample,4,5,region 4 - rural,region 4,rural,NA,not selected,0,21,12,2,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,30,no facility/bush/field,no,yes,42
90,4  3,ZZ6,4,3,1,4,294299,9,2015,1389,6,1,0,6,6,1,completed,18,1,191,15,all woman sample,4,5,region 4 - rural,region 4,rural,NA,not selected,0,21,12,2,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,16,no facility/bush/field,no,yes,71
91,4  4,ZZ6,4,4,1,4,294299,9,2015,1389,3,1,0,3,3,1,completed,19,1,16,15,all woman sample,4,5,region 4 - rural,region 4,rural,NA,not selected,0,21,12,2,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,23,pit latrine with slab,no,yes,19
